TYPE	FILE	LOCATOR	BEFORE_SNIPPET	PROPOSED_CHANGE	RATIONALE	STATUS
RENAME	assignment4_1_template.py	filename	assignment4_1_template.py	build_model.py	Academic filename with 'assignment4' and 'template' suffix; rename to descriptive professional name	APPLIED
RENAME	assignment4_2_template.py	filename	assignment4_2_template.py	build_model_with_hydrogens.py	Academic filename with 'assignment4' and 'template' suffix; rename to descriptive professional name that indicates hydrogen handling	APPLIED
TRACE	README.md	line 32	raya00001_7068679-assignment4/	./	Student ID and assignment reference in folder structure diagram; replace with current directory indicator	APPLIED
TRACE	README.md	line 33	├── assignment4_1_template.py       # Main modeling script	├── build_model.py       # Main modeling script	Update filename reference in structure diagram after rename	APPLIED
TRACE	README.md	line 34	├── assignment4_2_template.py       # Analysis and comparison script	├── build_model_with_hydrogens.py       # Model with explicit hydrogens	Update filename reference in structure diagram after rename	APPLIED
TRACE	README.md	line 70	cd raya00001_7068679-assignment4	cd protein-homology-modeling-modeller	Student ID and assignment reference in run instructions; replace with repo name or note to run from repo root	APPLIED
TRACE	README.md	line 75	python assignment4_1_template.py	python build_model.py	Update script name in run instructions after rename	APPLIED
TRACE	README.md	line 76	python assignment4_2_template.py	python build_model_with_hydrogens.py	Update script name in run instructions after rename	APPLIED
TRACE	assignment4_1_template.py	line 40	# HINT: check Modeller tutorial TvLDH.ali	# Target sequence in FASTA format	Tutorial reference comment; replace with descriptive comment	APPLIED
TRACE	assignment4_2_template.py	line 18	# TODO: Add code here	(remove or complete)	Incomplete TODO comment; should be removed or code added	APPLIED
TRACE	assignment4_2_template.py	line 50-51	# target_sequence_fasta_path = os.path.join(script_dir,"target_sequence.fasta") # HINT: check Modeller tutorial TvLDH.ali	(remove commented duplicate)	Commented duplicate line with tutorial reference; remove	APPLIED
TRACE	assignment4_2_template.py	line 51	# HINT: check Modeller tutorial TvLDH.ali	# Target sequence in FASTA format	Tutorial reference comment; replace with descriptive comment	APPLIED
TRACE	assignment4_2_template.py	line 47	# template_pdb_path = os.path.join(script_dir, "template.pdb")	(remove commented duplicate)	Commented duplicate line; remove	APPLIED
STRUCTURE	(root)	n/a	No .gitignore file	Create .gitignore for Python artifacts and MODELLER outputs	Professional repos should have .gitignore to exclude build artifacts, cache files, and generated outputs	APPLIED
DOC	README.md	line 136	- Originally created in an academic setting	(remove section)	Explicit reference to academic origins; not needed in portfolio version	APPLIED

