FILE	LOCATOR	BEFORE_SNIPPET	AFTER_SNIPPET	NOTES
.gitignore	n/a (new file)	No .gitignore file existed	Created .gitignore with Python, MODELLER, and IDE exclusions	Added professional .gitignore to exclude Python cache, virtual environments, MODELLER intermediate files (.V*, .D*, .ini, .rsr, .sch, .lck), generated alignment files (.pir, .ali, .pap), and IDE/OS artifacts
assignment4_1_template.py	filename	assignment4_1_template.py	build_model.py	Renamed to remove academic naming (assignment4) and template suffix; new name clearly describes functionality
assignment4_2_template.py	filename	assignment4_2_template.py	build_model_with_hydrogens.py	Renamed to remove academic naming (assignment4) and template suffix; new name indicates hydrogen atom handling
build_model.py	line 40	target_sequence_fasta_path = os.path.join(script_dir,"target_sequence.fasta") # HINT: check Modeller tutorial TvLDH.ali	target_sequence_fasta_path = os.path.join(script_dir,"target_sequence.fasta")	Removed tutorial reference comment
build_model_with_hydrogens.py	line 14-20	env = Environ()\n\n    # Read in HETATM records from template PDBs\n\n    # TODO: Add code here\n    # env.io.hetatm = False\n    env.io.hydrogen = True	env = Environ()\n\n    # Enable explicit hydrogen atom modeling\n    env.io.hydrogen = True	Removed TODO comment and cleaned up unnecessary commented code; replaced with clear descriptive comment
build_model_with_hydrogens.py	line 44-51	# template_pdb_path = os.path.join(script_dir, "template.pdb")\n    template_pdb_path = os.path.join(script_dir, "template.pdb")\n\n    # target_sequence_fasta_path = os.path.join(script_dir,"target_sequence.fasta") # HINT: check Modeller tutorial TvLDH.ali\n    target_sequence_fasta_path = os.path.join(script_dir,"target_sequence.fasta") # HINT: check Modeller tutorial TvLDH.ali	template_pdb_path = os.path.join(script_dir, "template.pdb")\n\n    target_sequence_fasta_path = os.path.join(script_dir,"target_sequence.fasta")	Removed commented duplicate lines and tutorial reference comments
README.md	line 29-42	## Folder Structure section with raya00001_7068679-assignment4/ and assignment4_X_template.py files	## Repository Structure section with protein-homology-modeling-modeller/ and build_model*.py files	Updated structure diagram: removed student ID folder name, updated script filenames, changed to 'Repository Structure'
README.md	line 70	cd raya00001_7068679-assignment4	cd protein-homology-modeling-modeller	Updated directory navigation instruction to use repo name instead of student ID
README.md	line 75-77	python assignment4_1_template.py\npython assignment4_2_template.py	python build_model.py\npython build_model_with_hydrogens.py	Updated script execution commands with new filenames and added descriptive comments
README.md	line 138-141	## Notes section with "Originally created in an academic setting"	## License & Attribution section without academic reference	Removed academic setting reference; reframed as License & Attribution section for professional presentation


